"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","LANDBIRD"
"","RBSP","","Rufous-breasted Spinetail","Synallaxis erythrothorax","SYNERY","",TRUE
"","LATM","*","Lance-tailed Manakin","Chiroxiphia lanceolata","CHILAN","",TRUE
"","LOTM","*","Long-tailed Manakin","Chiroxiphia linearis","CHILIN","",TRUE
"","WRMA","","White-ruffed Manakin","Corapipo altera","CORALT","",TRUE
"","GMAK","*","Green Manakin","Cryptopipo holochlora","CRYHOL","",TRUE
"","BCRM","*","Blue-crowned Manakin","Lepidothrix coronata","LEPCOR","",TRUE
"","WCOM","*","White-collared Manakin","Manacus candei","MANCAN","",TRUE
"","OCMA","","Orange-collared Manakin","Manacus aurantiacus","MANAUR","",TRUE
"","GCMA","","Golden-collared Manakin","Manacus vitellinus","MANVIT","",TRUE
"","WCRM","*","White-crowned Manakin","Pseudopipra pipra","PSEPIP","",TRUE
"","RCMA","","Red-capped Manakin","Ceratopipra mentalis","CERMEN","",TRUE
"","GHMA","","Golden-headed Manakin","Ceratopipra erythrocephala","CERERY","",TRUE
"","PTFR","","Purple-throated Fruitcrow","Querula purpurata","QUEPUR","",TRUE
"","BNUM","","Bare-necked Umbrellabird","Cephalopterus glabricollis","CEPGLA","",TRUE
"","LOCO","","Lovely Cotinga","Cotinga amabilis","COTAMA","",TRUE
"","TUCO","","Turquoise Cotinga","Cotinga ridgwayi","COTRID","",TRUE
"","BLCO","","Blue Cotinga","Cotinga nattererii","COTNAT","",TRUE
"","RUFP","*","Rufous Piha","Lipaugus unirufus","LIPUNI","",TRUE
"","TWBE","","Three-wattled Bellbird","Procnias tricarunculatus","PROTRI","",TRUE
"","BTCO","","Black-tipped Cotinga","Carpodectes hopkei","CARHOP","",TRUE
"","YBCO","","Yellow-billed Cotinga","Carpodectes antoniae","CARANT","",TRUE
"","SNCO","","Snowy Cotinga","Carpodectes nitidus","CARNIT","",TRUE
"","NOSC","","Northern Schiffornis","Schiffornis veraepacis","SCHVER","",TRUE
"","RWSC","","Russet-winged Schiffornis","Schiffornis stenorhyncha","SCHSTE","",TRUE
"","SPMO","","Speckled Mourner","Laniocera rufescens","LANRUF","",TRUE
"","MATI","","Masked Tityra","Tityra semifasciata","TITSEM","",TRUE
"","BCRT","*","Black-crowned Tityra","Tityra inquisitor","TITINQ","",TRUE
"","BABE","","Barred Becard","Pachyramphus versicolor","PACVER","",TRUE
"","CIRB","*","Cinereous Becard","Pachyramphus rufus","PACRUF","",TRUE
"","CIMB","*","Cinnamon Becard","Pachyramphus cinnamomeus","PACCIN","",TRUE
"","WWBE","","White-winged Becard","Pachyramphus polychopterus","PACPOL","",TRUE
"","BAWB","","Black-and-white Becard","Pachyramphus albogriseus","PACALB","",TRUE
"","GCBE","","Gray-collared Becard","Pachyramphus major","PACMAJ","",TRUE
"","RTBE","","Rose-throated Becard","Pachyramphus aglaiae","PACAGL","",TRUE
"","OCBE","","One-colored Becard","Pachyramphus homochrous","PACHOM","",TRUE
"","SHAR","","Sharpbill","Oxyruncus cristatus","OXYCRI","",TRUE
"","ROFL","","Royal Flycatcher","Onychorhynchus coronatus","ONYCOR","",TRUE
"","RDTF","*","Ruddy-tailed Flycatcher","Terenotriccus erythrurus","TERERY","",TRUE
"","TBFL","","Tawny-breasted Flycatcher","Myiobius villosus","MYIVIL","",TRUE
"","SRFL","","Sulphur-rumped Flycatcher","Myiobius sulphureipygius","MYISUL","",TRUE
"","BTFL","","Black-tailed Flycatcher","Myiobius atricaudus","MYIATD","*",TRUE
"","GHPI","","Gray-headed Piprites","Piprites griseiceps","PIPGRI","",TRUE
"","SBTS","*","Stub-tailed Spadebill","Platyrinchus cancrominus","PLACAN","",TRUE
"","WTRS","*","White-throated Spadebill","Platyrinchus mystaceus","PLAMYS","",TRUE
"","GCRS","*","Golden-crowned Spadebill","Platyrinchus coronatus","PLACOR","",TRUE
"","OSTF","*","Olive-striped Flycatcher","Mionectes olivaceus","MIOOLI","",TRUE
"","OBFL","","Ochre-bellied Flycatcher","Mionectes oleagineus","MIOOLE","",TRUE
"","SECF","*","Sepia-capped Flycatcher","Leptopogon amaurocephalus","LEPAMA","",TRUE
"","SLCF","*","Slaty-capped Flycatcher","Leptopogon superciliaris","LEPSUP","",TRUE
"","YGTY","","Yellow-green Tyrannulet","Phylloscartes flavovirens","PHYFLA","",TRUE
"","RBTY","","Rufous-browed Tyrannulet","Phylloscartes superciliaris","PHYSUP","",TRUE
"","BOPT","","Bronze-olive Pygmy-Tyrant","Pseudotriccus pelzelni","PSEPEL","",TRUE
"","BPYT","*","Black-capped Pygmy-Tyrant","Myiornis atricapillus","MYIATP","*",TRUE
"","SCPT","","Scale-crested Pygmy-Tyrant","Lophotriccus pileatus","LOPPIT","*",TRUE
"","PEPT","","Pale-eyed Pygmy-Tyrant","Lophotriccus pilaris","LOPPIR","*",TRUE
"","NOBE","","Northern Bentbill","Oncostoma cinereigulare","ONCCIN","",TRUE
"","SOBE","","Southern Bentbill","Oncostoma olivaceum","ONCOLI","",TRUE
"","SHTF","","Slate-headed Tody-Flycatcher","Poecilotriccus sylvia","POESYL","",TRUE
"","COTF","","Common Tody-Flycatcher","Todirostrum cinereum","TODCIN","",TRUE
"","BHTF","","Black-headed Tody-Flycatcher","Todirostrum nigriceps","TODNIG","",TRUE
"","BRTW","","Brownish Twistwing","Cnipodectes subbrunneus","CNISUB","",TRUE
"","ERFL","","Eye-ringed Flatbill","Rhynchocyclus brevirostris","RHYBRE","",TRUE
"","OLFL","","Olivaceous Flatbill","Rhynchocyclus olivaceus","RHYOLI","",TRUE
"","YOFL","","Yellow-olive Flycatcher","Tolmomyias sulphurescens","TOLSUL","",TRUE
"","YMFL","","Yellow-margined Flycatcher","Tolmomyias assimilis","TOLASS","",TRUE
"","YBTY","","Yellow-bellied Tyrannulet","Ornithion semiflavum","ORNSEM","",TRUE
"","BCTY","","Brown-capped Tyrannulet","Ornithion brunneicapillus","ORNBRU","",TRUE
"","NOBT","","Northern Beardless-Tyrannulet","Camptostoma imberbe","CAMIMB","",TRUE
"","SOBT","","Southern Beardless-Tyrannulet","Camptostoma obsoletum","CAMOBS","",TRUE
"","COCF","*","Cocos Flycatcher","Nesotriccus ridgwayi","NESRID","",TRUE
"","MCTY","","Mouse-colored Tyrannulet","Nesotriccus murinus","NESMUR","",TRUE
"","YETY","","Yellow Tyrannulet","Capsiempis flaveola","CAPFLA","",TRUE
"","YCTY","","Yellow-crowned Tyrannulet","Tyrannulus elatus","TYRELA","",TRUE
"","FOEL","","Forest Elaenia","Myiopagis gaimardii","MYIGAI","",TRUE
"","GRAE","*","Gray Elaenia","Myiopagis caniceps","MYICAN","",TRUE
"","GREL","","Greenish Elaenia","Myiopagis viridicata","MYIVIR","",TRUE
"","CAEL","","Caribbean Elaenia","Elaenia martinica","ELAMAR","",TRUE
"","YBEL","","Yellow-bellied Elaenia","Elaenia flavogaster","ELAFLA","",TRUE
"","LEEL","","Lesser Elaenia","Elaenia chiriquensis","ELACHI","",TRUE
"","MOEL","","Mountain Elaenia","Elaenia frantzii","ELAFRA","",TRUE
"","TOTY","","Torrent Tyrannulet","Serpophaga cinerea","SERCIN","",TRUE
"","RLTY","","Rough-legged Tyrannulet","Phyllomyias burmeisteri","PHYBUR","",TRUE
"","BRAT","","Bright-rumped Attila","Attila spadiceus","ATTSPA","",TRUE
"","CHSI","","Choco Sirystes","Sirystes albogriseus","SIRALB","",TRUE
"","RMOU","*","Rufous Mourner","Rhytipterna holerythra","RHYHOL","",TRUE
"","YUFL","","Yucatan Flycatcher","Myiarchus yucatanensis","MYIYUC","",TRUE
"","DCFL","","Dusky-capped Flycatcher","Myiarchus tuberculifer","MYITUB","",TRUE
"","PAFL","","Panama Flycatcher","Myiarchus panamensis","MYIPAN","",TRUE
"","ATFL","","Ash-throated Flycatcher","Myiarchus cinerascens","MYICIN","",TRUE
"","NUFL","","Nutting's Flycatcher","Myiarchus nuttingi","MYINUT","",TRUE
"","GCFL","","Great Crested Flycatcher","Myiarchus crinitus","MYICRI","",TRUE
"","BCFL","","Brown-crested Flycatcher","Myiarchus tyrannulus","MYITYR","",TRUE
"","FLFL","","Flammulated Flycatcher","Deltarhynchus flammulatus","DELFLA","",TRUE
"","LEKI","","Lesser Kiskadee","Pitangus lictor","PITLIC","",TRUE
"","GKIS","*","Great Kiskadee","Pitangus sulphuratus","PITSUL","",TRUE
"","CATY","","Cattle Tyrant","Machetornis rixosa","MACRIX","",TRUE
"","BOBF","*","Boat-billed Flycatcher","Megarynchus pitangua","MEGPIT","",TRUE
"","RMFL","","Rusty-margined Flycatcher","Myiozetetes cayanensis","MYICAY","",TRUE
"","SOFL","","Social Flycatcher","Myiozetetes similis","MYISIM","",TRUE
"","GCAF","*","Gray-capped Flycatcher","Myiozetetes granadensis","MYIGRA","",TRUE
"","WRFL","","White-ringed Flycatcher","Conopias albovittatus","CONALB","",TRUE
"","GBFL","","Golden-bellied Flycatcher","Myiodynastes hemichrysus","MYIHEM","",TRUE
"","GOCF","*","Golden-crowned Flycatcher","Myiodynastes chrysocephalus","MYICHR","",TRUE
"","STRF","*","Streaked Flycatcher","Myiodynastes maculatus","MYIMAC","",TRUE
"","SBFL","","Sulphur-bellied Flycatcher","Myiodynastes luteiventris","MYILUT","",TRUE
"","PIRF","*","Piratic Flycatcher","Legatus leucophaius","LEGLEU","",TRUE
"","TRKI","","Tropical Kingbird","Tyrannus melancholicus","TYRMEL","",TRUE
"","COKI","","Couch's Kingbird","Tyrannus couchii","TYRCOU","",TRUE
"","CAKI","","Cassin's Kingbird","Tyrannus vociferans","TYRVOC","",TRUE
"","TBKI","","Thick-billed Kingbird","Tyrannus crassirostris","TYRCRA","",TRUE
"","WEKI","","Western Kingbird","Tyrannus verticalis","TYRVER","",TRUE
"","EAKI","","Eastern Kingbird","Tyrannus tyrannus","TYRTYR","",TRUE
"","GRAK","*","Gray Kingbird","Tyrannus dominicensis","TYRDOM","",TRUE
"","STFL","","Scissor-tailed Flycatcher","Tyrannus forficatus","TYRFOR","",TRUE
"","FTFL","","Fork-tailed Flycatcher","Tyrannus savana","TYRSAV","",TRUE
"","BCOF","*","Bran-colored Flycatcher","Myiophobus fasciatus","MYIFAS","",TRUE
"","TCFL","","Tawny-chested Flycatcher","Aphanotriccus capitalis","APHCAP","",TRUE
"","BLBF","*","Black-billed Flycatcher","Aphanotriccus audax","APHAUD","",TRUE
"","BEFL","","Belted Flycatcher","Xenotriccus callizonus","XENCAL","",TRUE
"","PILF","*","Pileated Flycatcher","Xenotriccus mexicanus","XENMEX","",TRUE
"","TUFL","","Tufted Flycatcher","Mitrephanes phaeocercus","MITPHA","",TRUE
"","OSFL","","Olive-sided Flycatcher","Contopus cooperi","CONCOO","",TRUE
"","GRPE","","Greater Pewee","Contopus pertinax","CONPER","",TRUE
"","DAPE","","Dark Pewee","Contopus lugubris","CONLUG","",TRUE
"","OCPE","","Ochraceous Pewee","Contopus ochraceus","CONOCH","",TRUE
"","WEWP","","Western Wood-Pewee","Contopus sordidulus","CONSOR","",TRUE
"","EAWP","","Eastern Wood-Pewee","Contopus virens","CONVIR","",TRUE
"","TROP","*","Tropical Pewee","Contopus cinereus","CONCIN","",TRUE
"","YBFL","","Yellow-bellied Flycatcher","Empidonax flaviventris","EMPFLT","*",TRUE
"","ACFL","","Acadian Flycatcher","Empidonax virescens","EMPVIR","",TRUE
"","ALFL","","Alder Flycatcher","Empidonax alnorum","EMPALN","",TRUE
"","WIFL","","Willow Flycatcher","Empidonax traillii","EMPTRA","",TRUE
"","WTFL","","White-throated Flycatcher","Empidonax albigularis","EMPALB","",TRUE
"","LEFL","","Least Flycatcher","Empidonax minimus","EMPMIN","",TRUE
"","HAFL","","Hammond's Flycatcher","Empidonax hammondii","EMPHAM","",TRUE
"","GRFL","","Gray Flycatcher","Empidonax wrightii","EMPWRI","",TRUE
"","DUFL","","Dusky Flycatcher","Empidonax oberholseri","EMPOBE","",TRUE
"","PINF","*","Pine Flycatcher","Empidonax affinis","EMPAFF","",TRUE
"","PSFL","","Pacific-slope Flycatcher","Empidonax difficilis","EMPDIF","",TRUE
"","COFL","","Cordilleran Flycatcher","Empidonax occidentalis","EMPOCC","",TRUE
"","YEFL","","Yellowish Flycatcher","Empidonax flavescens","EMPFLC","*",TRUE
"","BBFL","","Buff-breasted Flycatcher","Empidonax fulvifrons","EMPFUL","",TRUE
"","BCAF","*","Black-capped Flycatcher","Empidonax atriceps","EMPATR","",TRUE
"","BLPH","","Black Phoebe","Sayornis nigricans","SAYNIG","",TRUE
"","EAPH","","Eastern Phoebe","Sayornis phoebe","SAYPHO","",TRUE
"","SAPH","","Say's Phoebe","Sayornis saya","SAYSAY","",TRUE
"","VEFL","","Vermilion Flycatcher","Pyrocephalus rubinus","PYRRUB","",TRUE
"","PIWT","","Pied Water-Tyrant","Fluvicola pica","FLUPIC","",TRUE
"","NOSF","","Northern Scrub-Flycatcher","Sublegatus arenarum","SUBARE","",TRUE
"","LTTY","","Long-tailed Tyrant","Colonia colonus","COLCOL","",TRUE
"","LOSH","","Loggerhead Shrike","Lanius ludovicianus","LANLUD","",TRUE
"","NSHR","*","Northern Shrike","Lanius borealis","LANBOR","",TRUE
"","RBPE","","Rufous-browed Peppershrike","Cyclarhis gujanensis","CYCGUJ","",TRUE
"","SCRG","*","Scrub Greenlet","Hylophilus flavipes","HYLFLA","",TRUE
"","CSSV","","Chestnut-sided Shrike-Vireo","Vireolanius melitophrys","VIRMEL","",TRUE
"","GRSV","","Green Shrike-Vireo","Vireolanius pulchellus","VIRPUL","",TRUE
"","YBSV","","Yellow-browed Shrike-Vireo","Vireolanius eximius","VIREXI","",TRUE
"","TCGR","","Tawny-crowned Greenlet","Tunchiornis ochraceiceps","TUNOCH","",TRUE
"","LESG","*","Lesser Greenlet","Pachysylvia decurtata","PACDEC","",TRUE
"","GFGR","","Golden-fronted Greenlet","Pachysylvia aurantiifrons","PACAUR","",TRUE
"","GOVI","","Golden Vireo","Vireo hypochryseus","VIRHYP","",TRUE
"","SLVI","","Slaty Vireo","Vireo brevipennis","VIRBRE","",TRUE
"","BCVI","","Black-capped Vireo","Vireo atricapilla","VIRATR","",TRUE
"","DWVI","","Dwarf Vireo","Vireo nelsoni","VIRNEL","",TRUE
"","WEVI","","White-eyed Vireo","Vireo griseus","VIRGRI","",TRUE
"","MAVI","","Mangrove Vireo","Vireo pallens","VIRPAL","",TRUE
"","COVI","","Cozumel Vireo","Vireo bairdi","VIRBAI","",TRUE
"","BEVI","","Bell's Vireo","Vireo bellii","VIRBEL","",TRUE
"","GRVI","","Gray Vireo","Vireo vicinior","VIRVIC","",TRUE
"","HUVI","","Hutton's Vireo","Vireo huttoni","VIRHUT","",TRUE
"","YTVI","","Yellow-throated Vireo","Vireo flavifrons","VIRFLF","*",TRUE
"","YWVI","","Yellow-winged Vireo","Vireo carmioli","VIRCAM","*",TRUE
"","CAVI","","Cassin's Vireo","Vireo cassinii","VIRCAS","",TRUE
"","BHVI","","Blue-headed Vireo","Vireo solitarius","VIRSOL","",TRUE
"","PLVI","","Plumbeous Vireo","Vireo plumbeus","VIRPLU","",TRUE
"","PHVI","","Philadelphia Vireo","Vireo philadelphicus","VIRPHI","",TRUE
"","WAVI","","Warbling Vireo","Vireo gilvus","VIRGIL","",TRUE
"","BCAV","*","Brown-capped Vireo","Vireo leucophrys","VIRLEU","",TRUE
"","REVI","","Red-eyed Vireo","Vireo olivaceus","VIROLI","",TRUE
"","YGVI","","Yellow-green Vireo","Vireo flavoviridis","VIRFLD","*",TRUE
"","BWVI","","Black-whiskered Vireo","Vireo altiloquus","VIRALT","",TRUE
"","YUVI","","Yucatan Vireo","Vireo magister","VIRMAG","",TRUE
"","CAJA","","Canada Jay","Perisoreus canadensis","PERCAN","",TRUE
"","WTJA","","White-throated Jay","Cyanolyca mirabilis","CYAMIR","",TRUE
"","DWJA","","Dwarf Jay","Cyanolyca nanus","CYANAN","",TRUE
"","BTJA","","Black-throated Jay","Cyanolyca pumilo","CYAPUM","",TRUE
"","STHJ","*","Silvery-throated Jay","Cyanolyca argentigula","CYAARG","",TRUE
"","AHJA","","Azure-hooded Jay","Cyanolyca cucullata","CYACUC","",TRUE
"","BTMJ","","Black-throated Magpie-Jay","Calocitta colliei","CALCOL","",TRUE
"","WTMJ","","White-throated Magpie-Jay","Calocitta formosa","CALFOR","",TRUE
"","BRJA","","Brown Jay","Psilorhinus morio","PSIMOR","",TRUE
"","TUJA","","Tufted Jay","Cyanocorax dickeyi","CYADIC","",TRUE
"","BCHJ","*","Black-chested Jay","Cyanocorax affinis","CYAAFF","",TRUE
"","GRJA","","Green Jay","Cyanocorax yncas","CYAYNC","",TRUE
"","BCRJ","*","Bushy-crested Jay","Cyanocorax melanocyaneus","CYAMEL","",TRUE
"","SBJA","","San Blas Jay","Cyanocorax sanblasianus","CYASAN","",TRUE
"","YUJA","","Yucatan Jay","Cyanocorax yucatanicus","CYAYUC","",TRUE
"","PBJA","","Purplish-backed Jay","Cyanocorax beecheii","CYABEE","",TRUE
"","PIJA","","Pinyon Jay","Gymnorhinus cyanocephalus","GYMCYA","",TRUE
"","STJA","","Steller's Jay","Cyanocitta stelleri","CYASTE","",TRUE
"","BLJA","","Blue Jay","Cyanocitta cristata","CYACRI","",TRUE
"","FLSJ","","Florida Scrub-Jay","Aphelocoma coerulescens","APHCOE","",TRUE
"","ISSJ","","Island Scrub-Jay","Aphelocoma insularis","APHINS","",TRUE
"","CASJ","","California Scrub-Jay","Aphelocoma californica","APHCAL","",TRUE
"","WOSJ","","Woodhouse's Scrub-Jay","Aphelocoma woodhouseii","APHWOO","",TRUE
"","TRJA","","Transvolcanic Jay","Aphelocoma ultramarina","APHULT","",TRUE
"","MEJA","","Mexican Jay","Aphelocoma wollweberi","APHWOL","",TRUE
"","UNJA","","Unicolored Jay","Aphelocoma unicolor","APHUNI","",TRUE
"","CLNU","","Clark's Nutcracker","Nucifraga columbiana","NUCCOL","",TRUE
"","BBMA","","Black-billed Magpie","Pica hudsonia","PICHUD","",TRUE
"","YBMA","","Yellow-billed Magpie","Pica nuttalli","PICNUT","",TRUE
"","AMCR","","American Crow","Corvus brachyrhynchos","CORBRA","",TRUE
"","TACR","","Tamaulipas Crow","Corvus imparatus","CORIMP","",TRUE
"","SICR","","Sinaloa Crow","Corvus sinaloae","CORSIN","",TRUE
"","FICR","","Fish Crow","Corvus ossifragus","COROSS","",TRUE
"","CHRA","","Chihuahuan Raven","Corvus cryptoleucus","CORCRY","",TRUE
"","CORA","","Common Raven","Corvus corax","CORCOX","*",TRUE
"","EUSK","","Eurasian Skylark","Alauda arvensis","ALAARV","",TRUE
"","HOLA","","Horned Lark","Eremophila alpestris","EREALP","",TRUE
"","BANS","*","Bank Swallow","Riparia riparia","RIPRIP","",TRUE
"","TRES","*","Tree Swallow","Tachycineta bicolor","TACBIC","",TRUE
"","VGSW","","Violet-green Swallow","Tachycineta thalassina","TACTHA","",TRUE
"","MANS","*","Mangrove Swallow","Tachycineta albilinea","TACALB","",TRUE
"","BCSW","","Black-capped Swallow","Atticora pileata","ATTPIL","",TRUE
"","WTGS","*","White-thighed Swallow","Atticora tibialis","ATTTIB","",TRUE
"","BAWS","","Blue-and-white Swallow","Pygochelidon cyanoleuca","PYGCYA","",TRUE
"","NRWS","","Northern Rough-winged Swallow","Stelgidopteryx serripennis","STESER","",TRUE
"","SRWS","","Southern Rough-winged Swallow","Stelgidopteryx ruficollis","STERUF","",TRUE
"","BCMA","","Brown-chested Martin","Progne tapera","PROTAP","",TRUE
"","PUMA","","Purple Martin","Progne subis","PROSUB","",TRUE
"","GYBM","*","Gray-breasted Martin","Progne chalybea","PROCHA","",TRUE
"","SIMA","","Sinaloa Martin","Progne sinaloae","PROSIN","",TRUE
"","BARS","*","Barn Swallow","Hirundo rustica","HIRRUS","",TRUE
"","CLSW","","Cliff Swallow","Petrochelidon pyrrhonota","PETPYR","",TRUE
"","CASW","","Cave Swallow","Petrochelidon fulva","PETFUL","",TRUE
"","CACH","","Carolina Chickadee","Poecile carolinensis","POECAR","",TRUE
"","BCCH","","Black-capped Chickadee","Poecile atricapillus","POEATR","",TRUE
"","MOCH","","Mountain Chickadee","Poecile gambeli","POEGAM","",TRUE
"","MECH","","Mexican Chickadee","Poecile sclateri","POESCL","",TRUE
"","CBCH","","Chestnut-backed Chickadee","Poecile rufescens","POERUF","",TRUE
"","BOCH","","Boreal Chickadee","Poecile hudsonicus","POEHUD","",TRUE
"","GHCH","","Gray-headed Chickadee","Poecile cinctus","POECIN","",TRUE
"","BRTI","","Bridled Titmouse","Baeolophus wollweberi","BAEWOL","",TRUE
"","OATI","","Oak Titmouse","Baeolophus inornatus","BAEINO","",TRUE
"","JUTI","","Juniper Titmouse","Baeolophus ridgwayi","BAERID","",TRUE
"","TUTI","","Tufted Titmouse","Baeolophus bicolor","BAEBIC","",TRUE
"","BCTI","","Black-crested Titmouse","Baeolophus atricristatus","BAEATR","",TRUE
"","VERD","","Verdin","Auriparus flaviceps","AURFLA","",TRUE
"","BUSH","","Bushtit","Psaltriparus minimus","PSAMIN","",TRUE
"","RBNU","","Red-breasted Nuthatch","Sitta canadensis","SITCAN","",TRUE
"","WBNU","","White-breasted Nuthatch","Sitta carolinensis","SITCAR","",TRUE
"","PYNU","","Pygmy Nuthatch","Sitta pygmaea","SITPYG","",TRUE
"","BHNU","","Brown-headed Nuthatch","Sitta pusilla","SITPUS","",TRUE
"","BRCR","","Brown Creeper","Certhia americana","CERAME","",TRUE
"","ROWR","","Rock Wren","Salpinctes obsoletus","SALOBS","",TRUE
"","NIWR","","Nightingale Wren","Microcerculus philomela","MICPHI","",TRUE
"","SCBW","*","Scaly-breasted Wren","Microcerculus marginatus","MICMAR","",TRUE
"","CANW","*","Canyon Wren","Catherpes mexicanus","CAPMEX","*",TRUE
"","SUWR","","Sumichrast's Wren","Hylorchilus sumichrasti","HYLSUM","",TRUE
"","NAWR","","Nava's Wren","Hylorchilus navai","HYLNAV","",TRUE
"","HOWR","","House Wren","Troglodytes aedon","TROAED","",TRUE
"","SOCW","*","Socorro Wren","Troglodytes sissonii","TROSIS","",TRUE
"","CLWR","","Clarion Wren","Troglodytes tanneri","TROTAN","",TRUE
"","RBWW","*","Rufous-browed Wren","Troglodytes rufociliatus","TRORUC","*",TRUE
"","OCWR","","Ochraceous Wren","Troglodytes ochraceus","TROOCH","",TRUE
"","PAWR","","Pacific Wren","Troglodytes pacificus","TROPAC","",TRUE
"","WIWR","","Winter Wren","Troglodytes hiemalis","TROHIE","",TRUE
"","TIWR","","Timberline Wren","Thryorchilus browni","THRBRO","",TRUE
"","SEWR","","Sedge Wren","Cistothorus platensis","CISPLA","",TRUE
"","MAWR","","Marsh Wren","Cistothorus palustris","CISPAL","",TRUE
"","CARW","*","Carolina Wren","Thryothorus ludovicianus","THRLUD","",TRUE
"","BEWR","","Bewick's Wren","Thryomanes bewickii","THRBEW","",TRUE
"","WHWR","","White-headed Wren","Campylorhynchus albobrunneus","CAMALB","",TRUE
"","BABW","*","Band-backed Wren","Campylorhynchus zonatus","CAMZON","",TRUE
"","GBWR","","Gray-barred Wren","Campylorhynchus megalopterus","CAMMEG","",TRUE
"","GIWR","","Giant Wren","Campylorhynchus chiapensis","CAMCHI","",TRUE
"","RNAW","*","Rufous-naped Wren","Campylorhynchus rufinucha","CAMRUF","",TRUE
"","SPWR","","Spotted Wren","Campylorhynchus gularis","CAMGUL","",TRUE
"","BOWR","","Boucard's Wren","Campylorhynchus jocosus","CAMJOC","",TRUE
"","YUWR","","Yucatan Wren","Campylorhynchus yucatanicus","CAMYUC","",TRUE
"","CACW","*","Cactus Wren","Campylorhynchus brunneicapillus","CAMBRU","",TRUE
"","SHWR","","Sooty-headed Wren","Pheugopedius spadix","PHESPA","",TRUE
"","BTWR","","Black-throated Wren","Pheugopedius atrogularis","PHEATR","",TRUE
"","RBSW","*","Rufous-breasted Wren","Pheugopedius rutilus","PHERUT","",TRUE
"","SBSW","*","Spot-breasted Wren","Pheugopedius maculipectus","PHEMAC","",TRUE
"","HAWR","","Happy Wren","Pheugopedius felix","PHEFEL","",TRUE
"","BBEW","*","Black-bellied Wren","Pheugopedius fasciatoventris","PHEFAS","",TRUE
"","RAWW","","Rufous-and-white Wren","Thryophilus rufalbus","THRRUL","*",TRUE
"","SIWR","","Sinaloa Wren","Thryophilus sinaloa","THRSIN","",TRUE
"","BANW","*","Banded Wren","Thryophilus pleurostictus","THRPLE","",TRUE
"","STWR","","Stripe-throated Wren","Cantorchilus leucopogon","CANLEP","*",TRUE
"","SIBW","*","Stripe-breasted Wren","Cantorchilus thoracicus","CANTHO","",TRUE
"","CABW","*","Cabanis's Wren","Cantorchilus modestus","CANMOD","",TRUE
"","CAKW","*","Canebrake Wren","Cantorchilus zeledoni","CANZEL","",TRUE
"","ISWR","","Isthmian Wren","Cantorchilus elutus","CANELU","",TRUE
"","BAYW","*","Bay Wren","Cantorchilus nigricapillus","CANNIG","",TRUE
"","RIWR","","Riverside Wren","Cantorchilus semibadius","CANSEM","",TRUE
"","BBRW","*","Buff-breasted Wren","Cantorchilus leucotis","CANLET","*",TRUE
"","WBWR","","White-bellied Wren","Uropsila leucogastra","UROLEU","",TRUE
"","WBWW","","White-breasted Wood-Wren","Henicorhina leucosticta","HENLES","*",TRUE
"","GBWW","","Gray-breasted Wood-Wren","Henicorhina leucophrys","HENLEP","*",TRUE
"","SONW","*","Song Wren","Cyphorhinus phaeocephalus","CYPPHA","",TRUE
"","TFGN","","Tawny-faced Gnatwren","Microbates cinereiventris","MICCIN","",TRUE
"","LBGN","","Long-billed Gnatwren","Ramphocaenus melanurus","RAMMEL","",TRUE
"","BGGN","","Blue-gray Gnatcatcher","Polioptila caerulea","POLCAE","",TRUE
"","CAGN","","California Gnatcatcher","Polioptila californica","POLCAL","",TRUE
"","BTGN","","Black-tailed Gnatcatcher","Polioptila melanura","POLMEL","",TRUE
"","BCGN","","Black-capped Gnatcatcher","Polioptila nigriceps","POLNIG","",TRUE
"","WLGN","","White-lored Gnatcatcher","Polioptila albiloris","POLALL","*",TRUE
"","YUGN","","Yucatan Gnatcatcher","Polioptila albiventris","POLALV","*",TRUE
"","TRGN","","Tropical Gnatcatcher","Polioptila plumbea","POLPLU","",TRUE
"","STGN","","Slate-throated Gnatcatcher","Polioptila schistaceigula","POLSCH","",TRUE
"","AMDI","","American Dipper","Cinclus mexicanus","CINMEX","",TRUE
"","GCKI","","Golden-crowned Kinglet","Regulus satrapa","REGSAT","",TRUE
"","RCKI","","Ruby-crowned Kinglet","Regulus calendula","REGCAL","",TRUE
"","ARWA","","Arctic Warbler","Phylloscopus borealis","PHYBOR","",TRUE
"","WREN","","Wrentit","Chamaea fasciata","CHAFAS","",TRUE
"","BCDO","","Black-capped Donacobius","Donacobius atricapilla","DONATR","",TRUE
"","BLUE","","Bluethroat","Cyanecula svecica","CYASVE","",TRUE
"","NOWH","","Northern Wheatear","Oenanthe oenanthe","OENOEN","",TRUE
"","EABL","","Eastern Bluebird","Sialia sialis","SIASIA","",TRUE
"","WEBL","","Western Bluebird","Sialia mexicana","SIAMEX","",TRUE
"","MOBL","","Mountain Bluebird","Sialia currucoides","SIACUR","",TRUE
"","TOSO","","Townsend's Solitaire","Myadestes townsendi","MYATOW","",TRUE
"","BBSO","","Brown-backed Solitaire","Myadestes occidentalis","MYAOCC","",TRUE
"","BFSO","","Black-faced Solitaire","Myadestes melanops","MYAMEL","",TRUE
"","VASO","","Varied Solitaire","Myadestes coloratus","MYACOL","",TRUE
"","SCSO","","Slate-colored Solitaire","Myadestes unicolor","MYAUNI","",TRUE
